46.174.191.31 - - [05/May/2017:01:55:55 +0700] "GET / HTTP/1.0" 404 994
46.174.191.32 - - [05/May/2017:06:16:44 +0700] "GET / HTTP/1.0" 404 994
46.174.191.29 - - [05/May/2017:08:12:39 +0700] "GET / HTTP/1.0" 404 994
61.164.149.211 - - [05/May/2017:09:13:23 +0700] "GET / HTTP/1.1" 404 994
61.164.149.211 - - [05/May/2017:09:13:23 +0700] "CONNECT www.linode.com:443 HTTP/1.1" 400 -
61.164.149.211 - - [05/May/2017:09:13:23 +0700] "CONNECT www.linode.com:443 HTTP/1.1" 400 -
61.164.149.211 - - [05/May/2017:09:13:23 +0700] "CONNECT www.linode.com:443 HTTP/1.1" 400 -
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/css/bootstrap.css HTTP/1.1" 304 -
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/css/single.css HTTP/1.1" 304 -
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/css/style.css HTTP/1.1" 304 -
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/js/jquery-1.8.2.min.js HTTP/1.1" 200 93439
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/css/font-awesome.min.css HTTP/1.1" 304 -
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/js/bootstrap.min.js HTTP/1.1" 200 29115
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/js/common.js HTTP/1.1" 200 21592
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/js/owl.carousel.js HTTP/1.1" 200 54413
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/css/nivo-slider.css HTTP/1.1" 200 2058
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/css/common.css HTTP/1.1" 200 1808
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/css/default.css HTTP/1.1" 200 2139
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/ HTTP/1.1" 200 89042
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/css/owl.carousel.css HTTP/1.1" 200 1547
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/css/owl.theme.css HTTP/1.1" 200 1743
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/css/jquery-ui.css HTTP/1.1" 200 38636
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/js/jquery.nivo.slider.js HTTP/1.1" 200 29774
123.16.195.111 - - [05/May/2017:09:26:33 +0700] "GET /WebBanHang/frontend/js/jquery-ui.js HTTP/1.1" 200 539419
