219.238.241.82 - - [06/May/2017:00:00:11 +0700] "GET /phpmyadmin HTTP/1.1" 404 1014
46.174.191.32 - - [06/May/2017:00:06:21 +0700] "GET / HTTP/1.0" 404 994
46.174.191.29 - - [06/May/2017:01:37:41 +0700] "GET / HTTP/1.0" 404 994
185.25.148.240 - - [06/May/2017:01:38:48 +0700] "GET /testproxy.php HTTP/1.1" 404 1020
93.174.93.136 - - [06/May/2017:01:43:03 +0700] "GET /cache/global/img/gs.gif HTTP/1.1" 404 1040
127.0.0.1 - - [06/May/2017:23:25:46 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/css/single.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/js/common.js HTTP/1.1" 200 21929
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/ HTTP/1.1" 200 89937
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/pictures/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/pictures/banner4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/pictures/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/pictures/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/js/jquery.nivo.slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/pictures/tv.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/pictures/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/css/nivo-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/34996_pen_g4560.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/30904_ram_avexir_core_series__blue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/31130_hyn_500.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/35117_gheg304_001.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/33656_gheg281_001.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/250_35322_ltas880_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/35212_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/34327_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/35614_33482_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/33260_01.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/32208_pg348q.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/35642_14176672049278.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/35213_34702_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/35094_25248_0_may_chu_intel.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/31335_pc_asus__m32cd_vn016d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/35319_vgin062_001.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/36104_acer_aspire_xc_780_dt_b5asv_002.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/upload/productimg/33308_003.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/null HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/1x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/6x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/9x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/8x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/3x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/2x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/0x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/5x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:49 +0700] "GET /WebBanHang/frontend/images/4x42.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:50 +0700] "GET /WebBanHang/frontend/images/bullets.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:50 +0700] "GET /WebBanHang/frontend/images/arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:25:59 +0700] "GET /WebBanHang/frontend/page.jsp?paction=category&cid=6 HTTP/1.1" 200 16967
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:03 +0700] "GET /WebBanHang HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:03 +0700] "GET /WebBanHang/ HTTP/1.1" 200 89937
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:03 +0700] "GET /WebBanHang/null HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/css/jquery.fancybox.css?v=2.1.6 HTTP/1.1" 200 5273
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/page.jsp?paction=detail&prid=15 HTTP/1.1" 200 26427
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/css/magiczoom.css HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/css/jquery.fancybox-buttons.css?v=1.0.5 HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/js/jquery.fancybox-buttons.js?v=1.0.5 HTTP/1.1" 200 3164
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/js/magiczoom.js HTTP/1.1" 200 63663
0:0:0:0:0:0:0:1 - - [06/May/2017:23:26:06 +0700] "GET /WebBanHang/frontend/js/jquery.fancybox.pack.js?v=2.1.6 HTTP/1.1" 200 23232
